,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
15,236.97095975875854,1.1168827626243052,1.957892608642578,0.14608732715430503,0.5,7,100,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 100}",0.9949133683039263,0.9940381558028617,0.9936401939740838,0.9939581842753796,0.9945937350930195,0.9942287513116475,0.00045997828526327404,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,320.87216410636904,1.4790944584518573,2.66822190284729,0.027981259177354213,0.5,7,150,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 150}",0.9949928469241774,0.9945151033386328,0.9936401939740838,0.9940376818507035,0.9948322467800922,0.9944036376355369,0.0005020113394969,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
17,391.87542028427123,2.536210696988085,3.5193245887756346,0.07116227756007006,0.5,7,200,"{'learning_rate': 0.5, 'max_depth': 7, 'n_estimators': 200}",0.9951518041646797,0.9947535771065182,0.9937196915494078,0.9939581842753796,0.9949117506757831,0.9944990301758403,0.0005587750861064433,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,250.3475263118744,1.9083435419949002,1.9210387229919434,0.03047461989657459,0.5,9,100,"{'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 100}",0.9950723255444286,0.9935612082670906,0.9926862230701964,0.9934017012481119,0.9948322467800922,0.993910776177303,0.0009032452308060631,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,324.63840117454527,2.4968197292530876,2.7990474700927734,0.30341740708359805,0.5,9,150,"{'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 150}",0.9951518041646797,0.9937201907790143,0.9927657206455203,0.9936401939740838,0.9950707584671649,0.9940697637444752,0.0009143381935730526,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,392.66594514846804,2.918186644200647,3.253228712081909,0.49506223074557354,0.5,9,200,"{'learning_rate': 0.5, 'max_depth': 9, 'n_estimators': 200}",0.9950723255444286,0.9937996820349762,0.9930042133714921,0.9937196915494078,0.9949117506757831,0.9941015612579096,0.0007797375107460524,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,255.452858543396,1.8253580257772621,2.061538553237915,0.22418128363499967,0.5,11,100,"{'learning_rate': 0.5, 'max_depth': 11, 'n_estimators': 100}",0.9951518041646797,0.9926868044515104,0.9923682327689005,0.993322203672788,0.994275719510256,0.993561003529524,0.0010281817584827772,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
22,329.1785147666931,3.6667767469291035,2.6236251831054687,0.06156706618567281,0.5,11,150,"{'learning_rate': 0.5, 'max_depth': 11, 'n_estimators': 150}",0.9950723255444286,0.9929252782193959,0.9924477303442245,0.9931632085221401,0.9943552234059468,0.9935928010429584,0.0009707616071589773,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
23,392.62065372467043,5.376826552929061,3.5569833755493163,0.3536472574414303,0.5,11,200,"{'learning_rate': 0.5, 'max_depth': 11, 'n_estimators': 200}",0.9950723255444286,0.9930842607313195,0.9925272279195485,0.9930837109468161,0.994275719510256,0.9936086997996757,0.000928185175564804,16,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,201.9850013256073,1.2498812385101583,1.442589235305786,0.27955141729357796,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9849785407725322,0.9833068362480127,0.9810795770728993,0.984895460688449,0.98211162346955,0.9832745079334796,0.001529856826166875,36,0.9895858176325623,0.9897650940021463,0.9900633955364773,0.9892684671793954,0.9899642289348172,0.9897294006570798,0.00028321252449377174
25,303.56553053855896,2.9341889783199977,2.0616085529327393,0.10495383837965103,0.1,5,150,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}",0.9895088221268479,0.9896661367249603,0.9869623976468718,0.9901423006598299,0.9886309429162029,0.9889821615949633,0.001121936740194609,35,0.9959058748708164,0.9961047736396518,0.9959856117967368,0.9961644706770802,0.996164546899841,0.9960650555768252,0.0001029652576251306
26,410.2485640525818,0.9903585248917679,2.973823070526123,0.2082322925132029,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.9925290096963917,0.9914149443561209,0.9901423006598299,0.9921297400429286,0.9910160597869295,0.9914464688861331,0.0008397560703281615,33,0.9986087924318309,0.9984498588974124,0.9986684950018879,0.9985890021661797,0.9984697933227344,0.9985571883640091,8.39306536368153e-05
27,273.1739678859711,1.6729825404478407,1.4858374118804931,0.1085017853531641,0.1,7,100,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",0.9919726593546336,0.9906995230524642,0.9896653152078861,0.9912552667143653,0.990698044204166,0.9908582148875958,0.0007581085824771168,34,0.998231178949042,0.9983107436702572,0.998271030823347,0.9985095093304716,0.9981518282988872,0.998294858214401,0.00011950548060326975
28,405.2463756084442,2.5935971352284612,2.568514013290405,0.20246535470452626,0.1,7,150,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 150}",0.9938801462406612,0.9922098569157393,0.9920502424676048,0.9922092376182526,0.9937986961361107,0.9928296607205317,0.0008269437514631646,30,0.999920502424676,0.9999602527922413,0.9999205071642918,0.9998807607464377,0.9998807631160572,0.9999125572487408,2.9742482342703316e-05
29,546.016101026535,2.093794148953938,3.628542184829712,0.08258907982130656,0.1,7,200,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 200}",0.994754411063424,0.9931637519872814,0.9924477303442245,0.9930837109468161,0.9944347273016377,0.9935769022862412,0.0008730927516456635,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
30,357.59188585281373,5.243183027229368,1.7264423370361328,0.08364156192487503,0.1,9,100,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 100}",0.9937211890001589,0.9916534181240063,0.9906987836870975,0.9925272279195485,0.99284464938782,0.992289102992146,0.0010343749699800284,32,0.999900628030845,0.9997416431495687,0.9998807607464377,0.9997615214928754,0.9998807631160572,0.9998330633071568,6.72178336072473e-05
31,506.5335957050323,2.5976864766997285,2.8426329135894775,0.03572581651617851,0.1,9,150,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 150}",0.9940391034811635,0.9928457869634341,0.9921297400429286,0.9934811988234359,0.9941167117188743,0.9933225221787656,0.0007509148639886067,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,626.1347361087799,23.847165268023485,3.7042465686798094,0.5933713375138898,0.1,9,200,"{'learning_rate': 0.1, 'max_depth': 9, 'n_estimators': 200}",0.9945159752026704,0.9930842607313195,0.9923682327689005,0.9937196915494078,0.9944347273016377,0.9936245985563928,0.0008161280809720379,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,370.7370988845825,14.529601967356891,1.9328740119934082,0.1656710455398653,0.1,11,100,"{'learning_rate': 0.1, 'max_depth': 11, 'n_estimators': 100}",0.9939596248609124,0.9922893481717011,0.9919707448922808,0.9920502424676048,0.993560184449038,0.9927660656936628,0.0008279553060761162,31,0.999980125606169,0.9999801263961207,1.0,1.0,1.0,0.999992050400458,9.736231271968781e-06
34,644.0321353435517,45.256711593781766,4.141288757324219,0.5581560899490859,0.1,11,150,"{'learning_rate': 0.1, 'max_depth': 11, 'n_estimators': 150}",0.9943570179621681,0.9925278219395867,0.9922887351935766,0.9928452182208443,0.9944347273016377,0.9932907246653312,0.0009198059038091507,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
35,828.366630268097,124.2927635129549,4.990365314483642,1.3863090119478514,0.1,11,200,"{'learning_rate': 0.1, 'max_depth': 11, 'n_estimators': 200}",0.994754411063424,0.9931637519872814,0.9923682327689005,0.9930042133714921,0.9948322467800922,0.9936245985563928,0.0009910170542908625,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
