,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__max_depth,param_learning_rate,param_n_estimators,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
21,5.3909642696380615,0.8561708927154541,0.15007686614990234,0.020090818405151367,5,1,100,"{'base_estimator__max_depth': 5, 'learning_rate': 1, 'n_estimators': 100}",0.9540603248259861,0.9447282861124013,0.9493964716805943,0.00466601885395778,44
22,8.283708095550537,1.5908632278442383,0.3644524812698364,0.0026150941848754883,5,1,150,"{'base_estimator__max_depth': 5, 'learning_rate': 1, 'n_estimators': 150}",0.9522041763341067,0.9493729679516953,0.9507892293407614,0.0014156040386527765,39
23,13.16796100139618,1.2912577390670776,0.3166782855987549,0.049027442932128906,5,1,200,"{'base_estimator__max_depth': 5, 'learning_rate': 1, 'n_estimators': 200}",0.9531322505800464,0.9512308406874129,0.9521819870009285,0.0009507048438637861,35
24,4.192329168319702,0.004364490509033203,0.12387299537658691,0.0008471012115478516,5,0.5,50,"{'base_estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 50}",0.9549883990719258,0.9503019043195541,0.9526462395543176,0.002343247123665278,32
25,6.687650084495544,0.25915825366973877,0.18279719352722168,0.0015518665313720703,5,0.5,100,"{'base_estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 100}",0.9559164733178654,0.9451927542963307,0.9505571030640668,0.005361858932945414,41
26,8.024024486541748,1.878605604171753,0.28394949436187744,0.08082473278045654,5,0.5,150,"{'base_estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 150}",0.9573085846867749,0.9442638179284719,0.9507892293407614,0.006522382676265413,39
27,11.188502788543701,2.1022591590881348,0.3991330862045288,0.12823045253753662,5,0.5,200,"{'base_estimator__max_depth': 5, 'learning_rate': 0.5, 'n_estimators': 200}",0.9549883990719258,0.9470506270320483,0.9510213556174559,0.003968885592230837,38
28,3.1357266902923584,0.022275686264038086,0.09287559986114502,0.00013625621795654297,5,0.1,50,"{'base_estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 50}",0.9503480278422274,0.9507663725034835,0.9505571030640668,0.00020917230808655741,41
29,7.207613825798035,1.2487713098526,0.20177602767944336,0.01679372787475586,5,0.1,100,"{'base_estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 100}",0.9494199535962877,0.9535531816070599,0.9514856081708449,0.0020666137826769846,36
30,9.631802916526794,1.8558238744735718,0.2745230197906494,0.0009176731109619141,5,0.1,150,"{'base_estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 150}",0.9424593967517402,0.9484440315838365,0.9454503249767874,0.0029923170935804108,51
31,13.24344277381897,1.8077714443206787,0.36596548557281494,0.0920642614364624,5,0.1,200,"{'base_estimator__max_depth': 5, 'learning_rate': 0.1, 'n_estimators': 200}",0.9503480278422274,0.9521597770552717,0.9512534818941504,0.0009058745089003605,37
32,4.061094760894775,0.6212553977966309,0.1153261661529541,0.02217245101928711,5,0.05,50,"{'base_estimator__max_depth': 5, 'learning_rate': 0.05, 'n_estimators': 50}",0.9373549883990719,0.9540176497909894,0.9456824512534819,0.008331329798130999,49
33,7.487569451332092,0.1493128538131714,0.2218548059463501,0.022008299827575684,5,0.05,100,"{'base_estimator__max_depth': 5, 'learning_rate': 0.05, 'n_estimators': 100}",0.9368909512761021,0.9479795633999071,0.9424326833797586,0.005544305464419106,53
34,9.864747047424316,0.8406565189361572,0.40697181224823,0.0007241964340209961,5,0.05,150,"{'base_estimator__max_depth': 5, 'learning_rate': 0.05, 'n_estimators': 150}",0.9234338747099768,0.9465861588481189,0.9350046425255338,0.011576140821565514,57
35,12.02962052822113,1.5043808221817017,0.42081785202026367,0.014334678649902344,5,0.05,200,"{'base_estimator__max_depth': 5, 'learning_rate': 0.05, 'n_estimators': 200}",0.9387470997679814,0.9400836042731073,0.9394150417827298,0.0006682521805485981,55
36,3.397522807121277,0.7532817125320435,0.08303642272949219,0.010203361511230469,5,0.01,50,"{'base_estimator__max_depth': 5, 'learning_rate': 0.01, 'n_estimators': 50}",0.9354988399071926,0.9303297724105899,0.9329155060352832,0.0025845334697785108,59
